Country,Country Code,Region,Year_Survey,0,1,2,3,4,5,6,7,8,9,10
Angola,AGO,Sub-Saharan Africa,2002-01-01,3,10,9,17,20,20,10,6,3,1,1
Argentina,ARG,Latin America & Caribbean,2002-01-01,5,2,2,5,7,20,14,16,17,5,7
Argentina,ARG,Latin America & Caribbean,2007-01-01,1,1,1,2,4,16,16,24,21,7,6
Argentina,ARG,Latin America & Caribbean,2010-01-01,1,0,1,2,3,13,10,20,30,8,11
Argentina,ARG,Latin America & Caribbean,2014-01-01,1,0,1,3,3,15,11,22,26,8,10
Argentina,ARG,Latin America & Caribbean,2019-01-01,4,2,1,4,4,19,11,20,17,4,14
Australia,AUS,East Asia & Pacific,2019-01-01,1,1,1,2,4,10,12,25,26,11,7
Bangladesh,BGD,South Asia,2002-01-01,0,2,17,9,21,28,10,5,6,2,1
Bangladesh,BGD,South Asia,2007-01-01,0,2,6,16,20,29,10,8,5,3,2
Bangladesh,BGD,South Asia,2014-01-01,0,0,1,5,13,25,22,21,9,3,1
Bolivia,BOL,Latin America & Caribbean,2002-01-01,1,3,4,7,12,30,13,13,9,4,4
Bolivia,BOL,Latin America & Caribbean,2007-01-01,0,1,1,4,6,33,17,17,13,3,6
Brazil,BRA,Latin America & Caribbean,2002-01-01,2,2,3,6,8,21,15,13,15,4,11
Brazil,BRA,Latin America & Caribbean,2007-01-01,1,2,1,3,5,15,12,18,21,10,13
Brazil,BRA,Latin America & Caribbean,2010-01-01,1,2,3,4,2,12,10,12,23,13,17
Brazil,BRA,Latin America & Caribbean,2014-01-01,1,1,2,2,3,10,9,17,27,14,15
Brazil,BRA,Latin America & Caribbean,2019-01-01,2,1,1,3,5,14,12,16,18,8,18
Bulgaria,BGR,Europe & Central Asia,2002-01-01,6,8,12,19,17,21,7,4,3,1,0
Bulgaria,BGR,Europe & Central Asia,2007-01-01,3,6,9,11,13,27,13,9,4,1,2
Bulgaria,BGR,Europe & Central Asia,2009-01-01,1,5,9,14,17,27,10,7,5,2,2
Bulgaria,BGR,Europe & Central Asia,2019-01-01,3,2,5,11,11,26,14,16,9,2,1
Canada,CAN,North America,2002-01-01,0,0,1,1,4,16,11,23,29,8,7
Canada,CAN,North America,2007-01-01,0,0,1,1,4,11,11,23,31,10,7
Canada,CAN,North America,2019-01-01,0,0,1,2,5,8,13,27,30,7,5
Chile,CHL,Latin America & Caribbean,2007-01-01,1,1,1,4,7,21,18,17,14,7,8
Chile,CHL,Latin America & Caribbean,2014-01-01,0,1,0,2,6,16,18,24,18,8,8
China,CHN,East Asia & Pacific,2002-01-01,3,3,3,7,9,33,19,10,9,2,2
China,CHN,East Asia & Pacific,2005-01-01,2,1,3,7,10,26,21,14,11,2,2
China,CHN,East Asia & Pacific,2007-01-01,1,1,2,5,9,25,23,16,13,2,2
China,CHN,East Asia & Pacific,2010-01-01,0,0,1,4,9,27,27,18,11,2,1
China,CHN,East Asia & Pacific,2014-01-01,0,0,1,1,3,12,22,25,23,9,2
Colombia,COL,Latin America & Caribbean,2014-01-01,1,2,2,3,4,14,10,18,21,9,16
Czech Republic,CZE,Europe & Central Asia,2002-01-01,1,0,1,4,9,27,16,23,13,3,2
Czech Republic,CZE,Europe & Central Asia,2007-01-01,1,0,1,5,8,28,15,18,17,4,2
Czech Republic,CZE,Europe & Central Asia,2009-01-01,1,0,1,4,7,18,19,23,16,6,5
Czech Republic,CZE,Europe & Central Asia,2019-01-01,1,1,1,3,5,19,12,26,19,8,5
"Côte d'Ivoire",CIV,Sub-Saharan Africa,2002-01-01,1,3,3,7,13,28,16,13,10,4,1
"Côte d'Ivoire",CIV,Sub-Saharan Africa,2007-01-01,1,0,2,6,11,26,24,13,9,4,3
"Egypt, Arab Rep.",EGY,Middle East & North Africa,2002-01-01,0,0,1,4,8,19,22,18,15,8,3
"Egypt, Arab Rep.",EGY,Middle East & North Africa,2007-01-01,0,2,5,7,14,20,26,14,7,4,0
"Egypt, Arab Rep.",EGY,Middle East & North Africa,2010-01-01,1,1,9,17,24,23,15,7,2,1,1
"Egypt, Arab Rep.",EGY,Middle East & North Africa,2014-01-01,3,3,9,16,20,23,16,6,2,2,1
El Salvador,SLV,Latin America & Caribbean,2014-01-01,1,0,1,1,1,13,15,23,18,9,16
Ethiopia,ETH,Sub-Saharan Africa,2007-01-01,0,0,1,6,16,21,18,20,12,3,2
France,FRA,Europe & Central Asia,2002-01-01,0,0,2,1,5,21,14,28,23,4,2
France,FRA,Europe & Central Asia,2007-01-01,0,0,1,2,4,20,16,27,23,4,3
France,FRA,Europe & Central Asia,2010-01-01,0,0,1,3,8,20,15,25,20,5,2
France,FRA,Europe & Central Asia,2014-01-01,1,1,1,2,7,22,14,21,22,4,4
France,FRA,Europe & Central Asia,2019-01-01,1,0,1,5,6,20,14,26,18,5,3
Germany,DEU,Europe & Central Asia,2002-01-01,1,1,2,4,6,23,15,22,19,5,4
Germany,DEU,Europe & Central Asia,2007-01-01,2,1,2,5,8,20,14,24,16,4,3
Germany,DEU,Europe & Central Asia,2009-01-01,1,1,2,2,8,20,18,23,17,4,3
Germany,DEU,Europe & Central Asia,2010-01-01,0,1,2,4,5,21,15,25,21,4,2
Germany,DEU,Europe & Central Asia,2014-01-01,1,1,1,3,6,14,14,27,25,4,4
Germany,DEU,Europe & Central Asia,2019-01-01,1,1,1,3,5,16,11,21,28,8,6
Ghana,GHA,Sub-Saharan Africa,2002-01-01,1,3,7,16,20,26,14,8,2,1,0
Ghana,GHA,Sub-Saharan Africa,2007-01-01,0,1,8,11,18,23,17,13,6,2,1
Ghana,GHA,Sub-Saharan Africa,2014-01-01,4,3,8,10,15,20,14,9,10,3,3
Greece,GRC,Europe & Central Asia,2014-01-01,1,3,8,9,10,20,13,17,13,4,3
Greece,GRC,Europe & Central Asia,2019-01-01,3,2,4,6,8,22,15,21,13,3,3
Guatemala,GTM,Latin America & Caribbean,2002-01-01,1,0,0,1,4,12,10,17,29,11,14
Honduras,HND,Latin America & Caribbean,2002-01-01,1,1,2,3,5,16,15,18,19,11,11
Hungary,HUN,Europe & Central Asia,2009-01-01,2,3,10,17,19,23,10,8,5,0,2
Hungary,HUN,Europe & Central Asia,2019-01-01,0,0,3,7,6,22,15,20,17,7,3
India,IND,South Asia,2002-01-01,1,2,3,6,10,34,15,11,11,3,4
India,IND,South Asia,2005-01-01,1,1,1,4,8,34,16,14,11,4,4
India,IND,South Asia,2007-01-01,1,0,1,2,4,30,21,18,14,7,2
India,IND,South Asia,2010-01-01,0,0,1,3,5,18,16,21,21,10,4
India,IND,South Asia,2014-01-01,0,1,2,4,10,21,17,17,16,7,4
India,IND,South Asia,2019-01-01,5,4,10,12,12,27,10,6,5,2,6
Indonesia,IDN,East Asia & Pacific,2002-01-01,0,0,3,6,9,21,28,22,8,1,1
Indonesia,IDN,East Asia & Pacific,2007-01-01,0,1,3,6,11,27,28,16,5,2,0
Indonesia,IDN,East Asia & Pacific,2010-01-01,0,1,1,3,8,24,31,20,10,2,1
Indonesia,IDN,East Asia & Pacific,2014-01-01,0,0,0,1,2,12,27,33,21,3,1
Indonesia,IDN,East Asia & Pacific,2019-01-01,2,2,2,7,5,19,15,14,13,6,14
Israel,ISR,Middle East & North Africa,2007-01-01,0,1,1,2,4,10,14,21,27,13,8
Israel,ISR,Middle East & North Africa,2014-01-01,0,0,0,1,2,6,14,23,30,18,4
Israel,ISR,Middle East & North Africa,2019-01-01,0,0,1,1,3,5,14,21,31,15,9
Italy,ITA,Europe & Central Asia,2002-01-01,0,1,1,3,4,15,22,28,16,3,6
Italy,ITA,Europe & Central Asia,2007-01-01,0,1,1,3,6,16,25,24,18,4,2
Italy,ITA,Europe & Central Asia,2014-01-01,1,1,2,4,7,15,22,25,15,4,4
Italy,ITA,Europe & Central Asia,2019-01-01,1,1,1,2,6,13,22,27,19,3,4
Japan,JPN,East Asia & Pacific,2002-01-01,1,0,1,5,9,29,14,18,15,3,3
Japan,JPN,East Asia & Pacific,2007-01-01,0,1,1,6,7,22,20,20,15,2,4
Japan,JPN,East Asia & Pacific,2010-01-01,4,1,1,4,10,23,12,21,16,3,4
Japan,JPN,East Asia & Pacific,2011-01-01,2,1,2,6,7,27,13,17,17,3,5
Japan,JPN,East Asia & Pacific,2014-01-01,1,1,1,6,7,27,14,22,15,2,4
Japan,JPN,East Asia & Pacific,2019-01-01,2,1,3,7,10,24,16,18,16,1,2
Jordan,JOR,Middle East & North Africa,2002-01-01,1,4,7,11,14,16,14,14,9,4,6
Jordan,JOR,Middle East & North Africa,2007-01-01,0,2,4,7,12,24,22,17,7,3,2
Jordan,JOR,Middle East & North Africa,2010-01-01,0,2,5,9,15,23,22,14,8,1,0
Jordan,JOR,Middle East & North Africa,2014-01-01,2,3,6,9,18,23,19,11,5,4,1
Kenya,KEN,Sub-Saharan Africa,2002-01-01,1,3,5,14,19,25,15,9,4,4,1
Kenya,KEN,Sub-Saharan Africa,2007-01-01,1,2,6,15,19,28,14,9,6,1,0
Kenya,KEN,Sub-Saharan Africa,2010-01-01,0,1,4,12,27,29,17,7,2,0,0
Kenya,KEN,Sub-Saharan Africa,2014-01-01,1,3,6,15,19,27,14,9,3,1,1
Kenya,KEN,Sub-Saharan Africa,2019-01-01,14,4,4,7,8,26,7,4,3,2,20
"Korea, Rep.",KOR,East Asia & Pacific,2002-01-01,0,1,2,2,6,23,15,23,19,6,5
"Korea, Rep.",KOR,East Asia & Pacific,2007-01-01,1,1,2,5,5,23,14,19,19,6,3
"Korea, Rep.",KOR,East Asia & Pacific,2010-01-01,0,1,2,3,3,20,15,22,20,6,7
"Korea, Rep.",KOR,East Asia & Pacific,2014-01-01,1,1,1,5,7,22,17,23,17,3,4
"Korea, Rep.",KOR,East Asia & Pacific,2019-01-01,2,0,1,6,4,22,13,21,20,4,6
Kuwait,KWT,Middle East & North Africa,2007-01-01,1,1,2,3,4,28,14,20,16,5,5
Lebanon,LBN,Middle East & North Africa,2002-01-01,3,4,4,10,12,28,17,13,6,1,1
Lebanon,LBN,Middle East & North Africa,2007-01-01,0,1,1,8,18,28,14,21,6,1,1
Lebanon,LBN,Middle East & North Africa,2010-01-01,0,1,7,15,22,24,15,12,3,0,0
Lebanon,LBN,Middle East & North Africa,2019-01-01,6,7,7,12,9,21,15,12,7,2,1
Lithuania,LTU,Europe & Central Asia,2009-01-01,0,2,6,11,11,17,15,17,13,3,2
Lithuania,LTU,Europe & Central Asia,2019-01-01,0,0,1,5,7,16,17,20,16,5,4
Malaysia,MYS,East Asia & Pacific,2007-01-01,0,1,1,3,6,30,23,17,10,6,3
Malaysia,MYS,East Asia & Pacific,2014-01-01,0,0,0,1,3,17,22,23,19,7,7
Mali,MLI,Sub-Saharan Africa,2002-01-01,0,3,4,14,21,38,10,5,4,0,0
Mali,MLI,Sub-Saharan Africa,2007-01-01,0,3,3,8,17,37,19,9,2,1,1
Mexico,MEX,Latin America & Caribbean,2002-01-01,1,1,1,3,6,16,12,16,24,9,10
Mexico,MEX,Latin America & Caribbean,2007-01-01,0,1,1,1,3,7,11,19,31,15,10
Mexico,MEX,Latin America & Caribbean,2010-01-01,0,1,0,1,3,9,13,17,29,15,10
Mexico,MEX,Latin America & Caribbean,2014-01-01,0,0,1,2,2,8,8,17,28,18,16
Mexico,MEX,Latin America & Caribbean,2019-01-01,2,1,1,2,4,12,9,16,26,11,15
Morocco,MAR,Middle East & North Africa,2007-01-01,0,0,2,4,17,36,25,12,3,0,0
Netherlands,NLD,Europe & Central Asia,2019-01-01,1,0,0,2,2,8,8,26,40,9,2
Nicaragua,NIC,Latin America & Caribbean,2014-01-01,4,2,2,4,6,18,9,14,14,8,18
Nigeria,NGA,Sub-Saharan Africa,2002-01-01,0,1,1,7,11,22,21,21,11,4,1
Nigeria,NGA,Sub-Saharan Africa,2007-01-01,0,1,4,7,12,21,19,17,14,4,1
Nigeria,NGA,Sub-Saharan Africa,2010-01-01,1,1,5,11,16,17,16,16,11,3,2
Nigeria,NGA,Sub-Saharan Africa,2014-01-01,0,1,2,7,11,19,18,15,13,6,7
Nigeria,NGA,Sub-Saharan Africa,2019-01-01,4,3,3,5,13,19,13,10,6,3,17
Pakistan,PAK,South Asia,2002-01-01,3,3,5,11,9,33,10,8,7,3,7
Pakistan,PAK,South Asia,2005-01-01,1,3,5,12,11,34,12,8,6,3,5
Pakistan,PAK,South Asia,2007-01-01,3,5,7,8,24,14,10,12,6,9,2
Pakistan,PAK,South Asia,2010-01-01,2,2,8,8,11,25,14,12,10,3,5
Pakistan,PAK,South Asia,2014-01-01,3,2,3,6,7,17,12,14,16,9,12
Peru,PER,Latin America & Caribbean,2002-01-01,3,4,3,5,10,22,15,12,13,4,8
Peru,PER,Latin America & Caribbean,2007-01-01,1,1,2,5,7,25,17,17,14,4,6
Peru,PER,Latin America & Caribbean,2014-01-01,1,1,2,3,7,18,17,19,17,6,9
Philippines,PHL,East Asia & Pacific,2002-01-01,1,4,4,8,11,29,12,12,9,3,7
Philippines,PHL,East Asia & Pacific,2014-01-01,1,2,3,5,8,28,15,15,12,4,7
Philippines,PHL,East Asia & Pacific,2019-01-01,3,5,5,6,9,27,11,10,8,4,12
Poland,POL,Europe & Central Asia,2002-01-01,0,5,2,7,11,27,16,15,9,2,2
Poland,POL,Europe & Central Asia,2007-01-01,0,2,2,6,8,24,18,18,15,3,3
Poland,POL,Europe & Central Asia,2009-01-01,1,1,1,4,7,23,18,19,16,6,4
Poland,POL,Europe & Central Asia,2010-01-01,1,2,3,7,8,23,17,22,12,2,3
Poland,POL,Europe & Central Asia,2014-01-01,1,1,3,5,8,21,20,19,12,3,4
Poland,POL,Europe & Central Asia,2019-01-01,0,0,1,3,4,18,17,25,19,8,4
Russian Federation,RUS,Europe & Central Asia,2002-01-01,2,5,7,14,14,29,11,10,5,2,2
Russian Federation,RUS,Europe & Central Asia,2005-01-01,4,5,7,15,14,28,9,8,4,2,2
Russian Federation,RUS,Europe & Central Asia,2007-01-01,2,3,4,13,13,27,14,11,7,2,3
Russian Federation,RUS,Europe & Central Asia,2009-01-01,1,1,2,9,10,26,14,16,11,5,3
Russian Federation,RUS,Europe & Central Asia,2010-01-01,1,3,4,10,11,25,15,14,11,5,2
Russian Federation,RUS,Europe & Central Asia,2014-01-01,0,1,2,6,7,22,18,20,15,5,3
Russian Federation,RUS,Europe & Central Asia,2019-01-01,3,3,2,9,12,30,12,12,7,3,6
Senegal,SEN,Sub-Saharan Africa,2002-01-01,2,1,4,8,9,35,18,12,8,1,2
Senegal,SEN,Sub-Saharan Africa,2007-01-01,1,1,1,7,11,34,19,16,6,2,2
Senegal,SEN,Sub-Saharan Africa,2014-01-01,2,1,3,7,15,21,16,16,11,4,4
Slovak Republic,SVK,Europe & Central Asia,2002-01-01,2,1,2,10,9,34,13,16,8,2,3
Slovak Republic,SVK,Europe & Central Asia,2007-01-01,1,1,1,3,10,33,14,19,11,3,3
Slovak Republic,SVK,Europe & Central Asia,2009-01-01,0,1,3,5,8,23,16,19,15,6,3
Slovak Republic,SVK,Europe & Central Asia,2019-01-01,0,0,3,8,9,16,14,19,18,6,5
South Africa,ZAF,Sub-Saharan Africa,2002-01-01,2,7,9,9,9,19,13,11,11,5,6
South Africa,ZAF,Sub-Saharan Africa,2007-01-01,4,5,4,6,10,19,15,15,10,6,6
South Africa,ZAF,Sub-Saharan Africa,2014-01-01,0,1,2,5,7,18,16,17,16,8,8
South Africa,ZAF,Sub-Saharan Africa,2019-01-01,12,3,4,5,7,17,7,8,7,3,26
Spain,ESP,Europe & Central Asia,2007-01-01,0,1,1,1,3,12,16,26,27,8,5
Spain,ESP,Europe & Central Asia,2010-01-01,1,1,1,3,4,18,15,25,21,4,5
Spain,ESP,Europe & Central Asia,2014-01-01,2,2,1,3,4,18,15,25,19,4,6
Spain,ESP,Europe & Central Asia,2019-01-01,2,1,2,4,8,17,14,26,17,6,4
Sweden,SWE,Europe & Central Asia,2007-01-01,0,0,1,2,3,10,11,28,30,8,6
Sweden,SWE,Europe & Central Asia,2019-01-01,0,1,1,2,4,8,9,26,33,11,5
Tanzania,TZA,Sub-Saharan Africa,2002-01-01,1,12,13,18,19,23,6,3,2,2,1
Tanzania,TZA,Sub-Saharan Africa,2007-01-01,2,7,12,16,16,29,9,3,4,2,0
Tanzania,TZA,Sub-Saharan Africa,2014-01-01,5,4,8,13,14,28,12,8,5,2,2
Thailand,THA,East Asia & Pacific,2014-01-01,2,1,2,4,6,35,14,15,10,5,6
Tunisia,TUN,Middle East & North Africa,2014-01-01,7,2,4,5,8,30,13,15,10,2,3
Tunisia,TUN,Middle East & North Africa,2019-01-01,9,2,4,8,11,27,14,11,7,2,4
Turkey,TUR,Europe & Central Asia,2002-01-01,7,4,6,10,11,28,13,7,4,2,4
Turkey,TUR,Europe & Central Asia,2005-01-01,3,6,5,10,11,29,14,9,6,2,4
Turkey,TUR,Europe & Central Asia,2007-01-01,3,4,4,7,9,29,15,12,8,2,4
Turkey,TUR,Europe & Central Asia,2010-01-01,2,4,7,7,13,34,11,10,6,2,3
Turkey,TUR,Europe & Central Asia,2014-01-01,1,2,2,4,7,24,20,21,10,4,4
Turkey,TUR,Europe & Central Asia,2019-01-01,6,3,3,7,8,23,19,15,8,1,4
Uganda,UGA,Sub-Saharan Africa,2002-01-01,0,13,13,18,18,19,6,3,4,2,3
Uganda,UGA,Sub-Saharan Africa,2007-01-01,1,9,11,16,20,24,11,4,2,0,1
Uganda,UGA,Sub-Saharan Africa,2014-01-01,6,6,7,10,12,26,9,8,8,3,6
Ukraine,UKR,Europe & Central Asia,2002-01-01,4,5,8,12,11,31,11,11,4,2,2
Ukraine,UKR,Europe & Central Asia,2007-01-01,2,2,4,10,16,21,13,14,10,4,4
Ukraine,UKR,Europe & Central Asia,2009-01-01,1,3,6,12,12,27,13,11,9,3,3
Ukraine,UKR,Europe & Central Asia,2014-01-01,2,3,5,12,14,24,15,14,7,1,1
Ukraine,UKR,Europe & Central Asia,2019-01-01,3,4,7,12,12,24,11,14,7,3,2
United Kingdom,GBR,Europe & Central Asia,2002-01-01,1,1,2,4,7,21,11,22,20,7,5
United Kingdom,GBR,Europe & Central Asia,2007-01-01,1,0,1,3,6,15,13,22,27,5,5
United Kingdom,GBR,Europe & Central Asia,2010-01-01,0,0,2,4,7,20,13,22,20,6,5
United Kingdom,GBR,Europe & Central Asia,2014-01-01,1,1,2,3,4,16,16,25,23,6,4
United Kingdom,GBR,Europe & Central Asia,2019-01-01,1,1,1,5,6,15,13,25,22,6,4
United States,USA,North America,2002-01-01,1,1,1,2,3,16,10,22,26,8,8
United States,USA,North America,2005-01-01,1,1,1,4,5,18,11,18,22,10,9
United States,USA,North America,2007-01-01,0,0,1,2,4,16,10,19,27,9,11
United States,USA,North America,2009-01-01,1,1,1,3,8,15,12,22,23,7,8
United States,USA,North America,2010-01-01,1,1,1,2,3,14,12,18,26,9,11
United States,USA,North America,2014-01-01,1,0,1,2,4,14,12,20,25,11,9
United States,USA,North America,2019-01-01,0,1,1,3,5,13,12,22,25,8,9
Uzbekistan,UZB,Europe & Central Asia,2002-01-01,1,2,2,6,8,27,19,13,10,5,7
"Venezuela, RB",VEN,Latin America & Caribbean,2002-01-01,2,2,2,5,9,20,10,16,16,6,12
"Venezuela, RB",VEN,Latin America & Caribbean,2007-01-01,0,1,0,3,5,16,15,20,18,11,11
"Venezuela, RB",VEN,Latin America & Caribbean,2014-01-01,0,0,1,1,3,10,11,16,22,12,24
Vietnam,VNM,East Asia & Pacific,2002-01-01,1,0,0,1,2,33,20,16,11,5,10
Vietnam,VNM,East Asia & Pacific,2014-01-01,1,0,1,1,1,18,13,25,19,7,13
West Bank and Gaza,PSE,Middle East & North Africa,2007-01-01,6,6,9,8,6,23,16,13,6,2,3
West Bank and Gaza,PSE,Middle East & North Africa,2014-01-01,2,2,3,5,11,17,19,19,15,4,2
